id_componente;codigo_componente;nome_componente;classe_gasto;valor_brl;fase_aplicacao;dimensoes_aimm;descricao;nivel_confianca;status
BUD_001;governanca_gestao_integracao;Governança, gestão, integração e PMO;MIXTO;4000000;"implantacao_1_3; avaliacao_1_5";"monitoramento; risco";Coordenação, gestão técnica, integração institucional e governança multiactor.;baixo;estimativa_preliminar
BUD_002;estudos_viabilidade_selecao_especies;Estudos de viabilidade, seleção de espécies e desenho de cadeias;OPEX;4000000;implantacao_1_2;"gap; mercado; risco";Estudos técnicos, mercado, campo, ValueLinks, seleção de espécies, análise territorial e salvaguardas.;baixo;estimativa_preliminar
BUD_003;producao_primaria_cultivo_extrativismo;Produção primária: cultivo, extrativismo e manejo;MIXTO;9000000;implantacao_1_3;"intensidade; gap; sustentabilidade";Implantação produtiva com agricultores/extrativistas, insumos, práticas sustentáveis e assistência técnica.;baixo;estimativa_preliminar
BUD_004;viveiros_material_propagativo;Viveiros, material propagativo e bancos de multiplicação;CAPEX;6000000;implantacao_1_3;"intensidade; risco";Estruturas de viveiro, mudas, matrizes, rastreabilidade de material vegetal e sanidade.;baixo;estimativa_preliminar
BUD_005;beneficiamento_local_pos_colheita;Beneficiamento local, pós-colheita e unidades cooperativas;CAPEX;8000000;implantacao_1_3;"intensidade; mercado";Secagem, seleção, moagem, armazenamento, destilação/extração simples e redução de perdas.;baixo;estimativa_preliminar
BUD_006;laboratorios_qualidade_certificacao;Laboratórios, qualidade, certificação e laudos;MIXTO;7000000;"implantacao_1_3; avaliacao_1_5";"monitoramento; risco; mercado";Ensaios, laudos, especificações, controle de qualidade, certificações e parcerias laboratoriais.;baixo;estimativa_preliminar
BUD_007;pesquisa_desenvolvimento_evidencias;P&D, validação, ATS, estudos e evidências de mundo real;OPEX;7000000;"implantacao_1_3; avaliacao_1_5";"gap; monitoramento; mercado";Pesquisa, desenvolvimento tecnológico, estudos clínicos/observacionais quando cabíveis, dados de mundo real e avaliação.;baixo;estimativa_preliminar
BUD_008;farmacias_vivas_sus;Farmácias Vivas, SUS e uso assistencial;MIXTO;6000000;"implantacao_1_3; avaliacao_1_5";"gap; intensidade; monitoramento";Estruturação de 4 Farmácias Vivas, protocolos, uso assistencial, dados e integração ao SUS.;baixo;estimativa_preliminar
BUD_009;processamento_industrial_ifav_produtos;Processamento industrial, IFAV e desenvolvimento de produtos;CAPEX;6000000;implantacao_2_3;"mercado; intensidade";Infraestrutura/serviços para IFAV, extratos, óleos, produtos e escala industrial/parcerias.;baixo;estimativa_preliminar
BUD_010;mercados_compras_distribuicao;Mercados, compras, distribuição e acesso;OPEX;4000000;"implantacao_2_3; avaliacao_1_5";mercado;Estratégia de compras públicas, B2B, varejo, exportação, logística e acesso a mercados.;baixo;estimativa_preliminar
BUD_011;sustentabilidade_rastreabilidade_salvaguardas;Sustentabilidade, rastreabilidade e salvaguardas;MIXTO;5000000;"implantacao_1_3; impacto_1_10";"risco; monitoramento";Sistemas de rastreabilidade, manejo sustentável, repartição de benefícios quando aplicável e salvaguardas.;baixo;estimativa_preliminar
BUD_012;dados_monitoramento_calculadora_aimm;Dados, monitoramento, automação e calculadora AIMM;OPEX;3000000;"implantacao_1_3; avaliacao_1_5; impacto_1_10";monitoramento;GitHub, Drive, coletas, evidências, automações, painéis e manutenção da calculadora.;baixo;estimativa_preliminar
BUD_013;capacitacao_extensao_comunicacao;Capacitação, extensão tecnológica e comunicação;OPEX;6000000;"implantacao_1_3; avaliacao_1_5";"intensidade; gap";Capacitação GACP, boas práticas, gestão cooperativa, qualidade, extensão e comunicação territorial.;baixo;estimativa_preliminar
BUD_014;reserva_tecnica_contingencia;Reserva técnica, contingência e ajustes de risco;RESERVA_TECNICA;5000000;"implantacao_1_3; avaliacao_1_5";risco;Reserva para contingências, variação de custos, riscos logísticos e ajustes de escopo.;baixo;estimativa_preliminar
