tema,status,branch,arquivo,linhas,evidencia,impacto_ui,acao_recomendada
paleta_oficial,NAO_COMPROVADO,main,—,—,Nenhum arquivo de design tokens ou guia de estilo publicado encontrado no repositório,Impossibilita padronização visual entre artefatos,Criar docs/UI_DESIGN_TOKENS.md com formalização das cores existentes em aimm_communication.py:119-135
cores_html_css_inline,PARCIAL,main,src/fito_aimm/aimm_communication.py,119-135,"CSS inline no HTML gerado: #111827 (texto), #f9fafb (card), #fffbeb (warning), #991b1b (risco), #1d4ed8 (monitoramento), #166534 (processo), #92400e (bloqueio/warning)",Paleta presente mas não formalizada nem externalizada,Externalizar CSS para arquivo standalone editável sem alterar código Python
legendas_graficos_mapas_tabelas,NAO_COMPROVADO,main,—,—,Nenhum sistema de legendas documentado no repositório analisado,Sem legenda o usuário não interpreta faixas ou status visuais,Criar sistema de legendas vinculado às faixas de score definidas em aimm_engine.py:58-64
faixas_score_engine,IMPLEMENTADO,main,src/fito_aimm/aimm_engine.py,58-64,"Faixas: muito_baixo (≤20), baixo (21-40), medio (41-60), alto (61-80), muito_alto (>80)",Faixas existem no engine mas sem cor ou ícone visual associado,Mapear faixas a cores em config/aimm_communication_rules.yaml
faixas_score_species,IMPLEMENTADO,main,src/fito_aimm/species_selection.py,68-76,Mesma função score_band replicada em species_selection.py,Consistência de cálculo mas sem expressão visual,Centralizar função em módulo utilitário comum
faixas_score_product,IMPLEMENTADO,main,src/fito_aimm/product_pathway.py,70-78,Mesma função score_band replicada em product_pathway.py,Consistência de cálculo mas sem expressão visual,Centralizar função em módulo utilitário comum
semantica_visual_risco,PARCIAL,main,src/fito_aimm/aimm_communication.py,127,.risco { border-left: 8px solid #991b1b } — classe CSS definida mas não documentada como padrão,Destaque visual para dimensão de risco presente; sem documentação formal,Documentar semântica de cada classe CSS em guia de estilo
semantica_visual_bloqueio,PARCIAL,main,src/fito_aimm/aimm_communication.py,129,.bloqueio { border-left: 8px solid #92400e } — classe CSS definida mas não documentada,Destaque visual para bloqueio presente; sem documentação formal,Documentar semântica de cada classe CSS em guia de estilo
semantica_visual_monitoramento,PARCIAL,main,src/fito_aimm/aimm_communication.py,128,.monitoramento { border-left: 8px solid #1d4ed8 } — classe CSS definida mas não documentada,Destaque visual para monitoramento presente; sem documentação formal,Documentar semântica de cada classe CSS em guia de estilo
semantica_visual_score,PARCIAL,main,src/fito_aimm/aimm_communication.py,126,.score { border-left: 8px solid #1f2937 } — classe CSS definida mas não documentada,Destaque visual para score presente; sem documentação formal,Documentar semântica de cada classe CSS em guia de estilo
trava_metodologica_html,IMPLEMENTADO,main,config/aimm_communication_rules.yaml,regras_visualizacao[0],"Todo arquivo visual deve conter a trava de score preliminar",Trava obrigatória presente em HTML e SVG gerados,Manter regra; verificar que novos artefatos herdam a exigência
trava_metodologica_svg,IMPLEMENTADO,main,src/fito_aimm/aimm_communication.py,196,"SVG contém rect com fill=#fffbeb e texto de trava embutido",Trava presente no SVG gerado,Manter
acessibilidade_contraste,NAO_COMPROVADO,main,—,—,Nenhuma declaração de requisito de acessibilidade (WCAG ou similar) encontrada no repositório,Sem garantia de acessibilidade; potencial barreira para usuários com deficiência visual,Declarar requisitos mínimos WCAG 2.1 AA; verificar contraste das cores existentes
